id,genre,song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3mNecsYFb6LQg7822DPXCP,Emo,Absolutely (Story of a Girl) - Radio Mix,0.481,0.94,7,-5.204,1,0.066,0.000891,0,0.0939,0.66,192.986,189333
50yvvXV8oUAhW1lPAqlFQQ,Emo,Work,0.544,0.926,8,-3.575,1,0.0634,0.00741,0,0.214,0.352,115.081,203507
0Z9rmJOeCBaW4fBQjSaijR,Emo,"If You Can't Live Without Me, Why Aren't You Dead Yet?",0.397,0.974,1,-3.149,1,0.325,0.000137,0,0.255,0.357,164.759,218133
2BagLPRSrq9j8ASiVd23bt,Emo,My Beautiful Rescue,0.563,0.582,11,-9.205,1,0.0318,0.127,0,0.288,0.652,140.124,156547
5rLi8B8qgk6qThwRnKHW2P,Emo,The Ballad of Mona Lisa,0.436,0.893,9,-4.18,0,0.0556,0.000362,0,0.103,0.0794,124.113,226680
6sqNctd7MlJoKDOxPVCAvU,Emo,My Happy Ending,0.414,0.936,2,-2.407,1,0.0758,0.00136,0,0.369,0.74,170.229,242413
396WOfbkqKaXYFwx6XjdOF,Emo,Fall To Pieces,0.432,0.9,0,-2.832,1,0.0447,0.00248,0,0.631,0.486,178.086,208680
3kaK1EohdhDXT5ICBMRGkz,Emo,I Woke Up In A Car,0.55,0.908,1,-6.067,1,0.0345,0.00578,0.000257,0.0904,0.539,107.031,252867
3OKRJmD3QEctEUq8aXVlED,Emo,Sweat the Battle Before the Battle Sweats You,0.433,0.876,6,-4.177,0,0.218,0.0565,0,0.0628,0.647,175.091,172227
1gj2CuM9X66uuTqF7G0lo7,Emo,Hold Me Down,0.516,0.854,1,-6.224,1,0.049,0.0315,0.0114,0.0675,0.162,120.087,319307
2m7FsggaXs6rGElWLbgQUS,Emo,Mona Lisa (When The World Comes Down),0.628,0.461,7,-10.196,1,0.0257,0.302,6.65E-06,0.0973,0.37,128.227,194800
7H0OWqybanoiXV9HZKfwBh,Emo,Must Have Done Something Right,0.563,0.959,1,-3.036,1,0.0421,0.0166,0,0.13,0.81,137.942,199867
4sPJgy0CksvmXp9jC0W4gv,Emo,Anthem of Our Dying Day,0.388,0.8,9,-6.33,1,0.0783,0.0211,0,0.212,0.357,194.744,216027
0BpKPyXhWsTaWkgXeOd1Sn,Emo,Thank You for the Venom,0.486,0.977,7,-3.463,1,0.0603,0.00237,0,0.298,0.413,207.002,221093
5lWRaa0fBxDE5yU91npPq7,Emo,Just A Girl,0.638,0.906,2,-4.824,1,0.0504,0.0662,6.88E-05,0.142,0.767,107.991,209200
75HZ6Wxnw8xbgz6HU9kKCS,Emo,Barely Breathing,0.482,0.807,0,-6.976,1,0.0457,0.0281,0,0.177,0.516,187.918,254547
0S0d7Qad5v7ZLQiAuwQxab,Emo,Kryptonite,0.544,0.877,11,-4.923,0,0.0279,0.00394,1.49E-05,0.158,0.533,198.054,233933
4x3SQvTgvqSTU3nOL1urZh,Emo,The Reason,0.473,0.643,4,-4.67,1,0.0293,0.0134,0,0.16,0.0781,165.9,232800
5MsZIaCYY6Tsdph0LiB0hE,Emo,Alone Together,0.552,0.915,4,-3.713,1,0.0559,0.0013,3.74E-05,0.206,0.606,180.026,203413
5psEUJWeJU2BiOYyWdjgxZ,Emo,New Perspective,0.366,0.845,7,-5.826,1,0.118,0.00339,0,0.197,0.545,164.024,227093
2IXXOhuBzUDYxJponFk37l,Emo,Time - Soundtrack Version,0.594,0.687,1,-7.419,1,0.0269,0.144,1.14E-05,0.109,0.379,120.017,236053
2wsMjVktHwupQAmPVckh9X,Emo,Toxic Valentine - Soundtrack Version,0.554,0.914,9,-3.941,0,0.0529,0.0171,0,0.131,0.641,116.031,172267
4QBdQQwpS60LhsU1cX8lxY,Emo,What's It Feel Like to Be a Ghost?,0.451,0.875,11,-4.636,1,0.0302,0.0058,3.82E-05,0.194,0.629,148.492,227507
7CKLZEwboCy2juXMLsAHFt,Emo,Whoa Oh! (Me vs Everyone),0.529,0.923,2,-4.166,1,0.0764,0.00393,0,0.333,0.64,143.034,204773
5jzX4dWVQeBTtfBaXnMRt5,Emo,DONTTRUSTME,0.791,0.713,5,-3.742,0,0.254,0.0163,0,0.189,0.514,130.012,192573
066HNnIEcYkMZ4UumfTLmN,Emo,Timberwolves At New Jersey,0.486,0.692,0,-5.849,1,0.0731,0.0025,0,0.194,0.505,181.192,203493
5eHKOG5c9BpOJbgihpjlHB,Emo,Take My Hand,0.494,0.857,10,-4.317,1,0.0438,0.000199,0,0.0776,0.491,137.996,207920
